Label,XPath,Strategy,Matches,Action,Value,Property
firstName,"//*[@id=""firstName""]",id,1,click,,text
firstName,"//*[@id=""firstName""]",id,1,Input,DAVEESDGFG,text
email,"//*[@id=""email""]",id,1,click,,email
email,"//*[@id=""email""]",id,1,Input,AJTF1@GMAIL.COM,email
middleName,"//*[@id=""middleName""]",id,1,click,,text
middleName,"//*[@id=""middleName""]",id,1,Input,HERBFGFGV,text
Mobile Number*+1868,"//div[contains(@class, ""md:order-4"")]",class,1,click,,div
mobileNumber,"//*[@id=""mobileNumber""]",id,1,click,,tel
mobileNumber,"//*[@id=""mobileNumber""]",id,1,Input,234-5432,tel
lastName,"//*[@id=""lastName""]",id,1,click,,text
lastName,"//*[@id=""lastName""]",id,1,Input,CHAPPELLFGGAGVA,text
Select Branch,"//*[@data-testid=""dropdown-button""]",data-testid,1,click,,submit
100 - TECU - MARABELLA BRANCH,"//*[@data-testid=""option-0""]",data-testid,1,click,,li
Add profile picture,"//*[@data-testid=""button"" and contains(., ""Add profile picture"")]",data-testid+text,1,click,,submit
Upload,"//*[@data-testid=""upload-button""]",data-testid,1,click,,label
file-upload,"//*[@id=""file-upload""]",id,1,click,,file
file-upload,"//*[@id=""file-upload""]",id,1,Input,C:\fakepath\Screenshot 2026-01-27 at 1.02.56 PM.png,file
Save & Continue,"//*[@data-testid=""button"" and contains(., ""Save & Continue"")]",data-testid+text,1,click,,submit
otp-input-0,"//*[@id=""otp-input-0""]",id,1,click,,text | max:1
otp-input-0,"//*[@id=""otp-input-0""]",id,1,Input,1,text | max:1
otp-input-1,"//*[@id=""otp-input-1""]",id,1,Input,2,text | max:1
otp-input-2,"//*[@id=""otp-input-2""]",id,1,Input,1,text | max:1
otp-input-3,"//*[@id=""otp-input-3""]",id,1,Input,2,text | max:1
otp-input-4,"//*[@id=""otp-input-4""]",id,1,Input,1,text | max:1
otp-input-5,"//*[@id=""otp-input-5""]",id,1,Input,2,text | max:1
Verify OTP,"//*[@data-testid=""submit-button""]",data-testid,1,click,,submit
Verify Your EmailEnter the 6-d,"//*[@data-testid=""modal-body""]",data-testid,1,click,,div
First Name*Email ID*Middle Nam,"//div[contains(@class, ""lg:grid-cols-2"")]",class,1,click,,div
